No,ID,CG,Depth_m,qc_MPa,fs_kPa,u_kPa,Other,qt_MPa,Rf_p,SBT,Ic,gamma_kNm3,sv_kPa,u0_kPa,du_kPa,slv0_kPa,Qt1,Fr_p,Bq,SBTn,n,Cn,Icn,Qtn,U2,IB,MSBTn,KG,EST
1326,14,2,11.3,0.45,5.2,378,3,0.6,0.88,4,2.94,16.5,186.45,101.04,276.96,85.41,4.85,1.28,0.65,3,1,1.17,3.08,4.85,3.16,19.49,0,130.1859668,0
1327,14,2,11.32,0.45,5.1,358,2.9,0.6,0.88,4,2.94,16.5,186.78,101.24,256.76,85.54,4.83,1.27,0.65,3,1,1.17,3.08,4.83,3.15,19.48,0,129.7831218,0
1328,14,2,11.34,0.46,5.4,371,3,0.6,0.9,4,2.94,16.5,187.11,101.44,269.56,85.67,4.79,1.31,0.65,3,1,1.17,3.09,4.79,3.13,19.39,0,130.6199471,0
1329,14,2,11.46,0.45,6,384,3,0.59,0.99,4,2.96,16.5,189.09,102.61,281.39,86.48,4.69,1.45,0.69,3,1,1.16,3.12,4.69,3.22,19.12,0,133.5480345,0
1330,14,2,11.76,0.45,5.8,362,3,0.6,0.94,4,2.95,16.5,194.04,105.56,256.44,88.48,4.6,1.39,0.64,3,1,1.13,3.12,4.6,2.96,19.11,0,131.6213201,0
1331,14,2,12.02,0.48,5.5,398,3,0.64,0.88,4,2.91,16.5,198.33,108.11,289.89,90.22,4.9,1.27,0.65,3,1,1.11,3.08,4.9,3.19,19.54,0,131.1912677,0
1332,14,2,12.14,0.49,6.1,400,3.1,0.64,0.97,4,2.93,16.5,200.31,109.28,290.72,91.03,4.85,1.41,0.65,3,1,1.1,3.1,4.85,3.14,19.32,0,133.5254876,0
1333,14,2,12.26,0.49,6,393,3,0.65,0.99,4,2.93,16.5,202.29,110.46,282.54,91.83,4.83,1.44,0.63,3,1,1.09,3.11,4.83,3.03,19.27,0,134.8087918,0
1334,14,2,12.3,0.49,7.7,352,0,0.65,1.1,4,2.95,16.5,202.95,110.85,241.15,92.1,4.8,1.61,0.63,3,1,1.09,3.13,4.8,3.01,19.05,0,137.6222952,0
1335,14,2,12.48,0.49,6.3,397,2.8,0.65,1,4,2.93,16.5,205.92,112.62,284.38,93.3,4.73,1.46,0.65,3,1,1.07,3.12,4.73,3.05,19.15,0,134.4013788,0
1336,14,2,12.5,0.49,6.2,393,2.8,0.65,0.98,4,2.93,16.5,206.25,112.81,280.19,93.44,4.73,1.44,0.64,3,1,1.07,3.12,4.73,3.04,19.18,0,134.4013788,0
1337,14,2,12.84,0.5,6.5,418,2.9,0.66,1,4,2.92,16.5,211.86,116.15,301.85,95.71,4.67,1.47,0.66,3,1,1.04,3.13,4.67,3.09,19.08,0,134.8172701,0
1338,14,2,13.04,0.5,6.9,427,2.9,0.66,1.03,4,2.93,16.5,215.16,118.11,308.89,97.05,4.63,1.52,0.68,3,1,1.03,3.14,4.63,3.17,18.99,0,135.6574383,0
1339,14,2,13.08,0.5,6.9,427,2.9,0.67,1.03,4,2.92,16.5,215.82,118.5,308.5,97.32,4.69,1.52,0.67,3,1,1.03,3.13,4.69,3.15,19.05,0,135.2500706,0
1340,14,2,13.1,0.51,6.9,420,2.9,0.68,1.03,4,2.92,16.5,216.15,118.7,301.3,97.45,4.71,1.52,0.66,3,1,1.03,3.13,4.71,3.13,19.07,0,135.68241,0
1341,14,2,13.32,0.51,7.6,430,2.9,0.68,1.14,4,2.93,16.5,219.78,120.86,309.14,98.92,4.7,1.67,0.66,3,1,1.01,3.15,4.7,3.08,18.87,0,138.9412693,0
1342,14,2,13.7,0.53,8.5,430,3,0.7,1.19,4,2.93,16.5,226.05,124.59,305.41,101.46,4.71,1.75,0.65,3,1,0.99,3.16,4.71,3.07,18.8,0,140.9365217,0
1343,14,2,13.72,0.53,8.3,438,3,0.71,1.18,4,2.93,16.5,226.38,124.78,313.22,101.6,4.73,1.73,0.65,3,1,0.98,3.15,4.73,3.09,18.84,0,139.6058844,0
1344,14,2,13.82,0.55,8.3,444,3,0.73,1.13,4,2.91,16.5,228.03,125.76,318.24,102.27,4.92,1.65,0.64,3,1,0.98,3.13,4.92,3.15,19.1,0,140.1947323,0
1345,14,2,13.92,0.56,8.3,444,3,0.74,1.13,4,2.9,16.5,229.68,126.75,317.25,102.93,4.94,1.64,0.63,3,1,0.97,3.12,4.94,3.1,19.14,0,138.8523007,0
1346,14,2,14.02,0.55,8.5,444,2.5,0.73,1.17,4,2.91,16.5,231.33,127.73,316.27,103.6,4.81,1.71,0.63,3,1,0.97,3.14,4.81,3.05,18.93,0,139.5939755,0
1347,14,2,14.36,0.59,7.4,469,2.8,0.77,1.01,4,2.86,16.5,236.94,131.06,337.94,105.88,5.07,1.45,0.61,3,1,0.94,3.09,5.07,3.09,19.47,0,136.3056437,0
1348,14,2,14.44,0.58,7.5,455,2.8,0.77,1.07,4,2.87,16.5,238.26,131.85,323.15,106.41,5.02,1.54,0.6,3,1,0.94,3.11,5.02,2.99,19.32,0,138.7668265,0
1349,14,2,14.52,0.57,11.1,459,3.4,0.76,1.48,4,2.94,16.5,239.58,132.63,326.37,106.95,4.86,2.17,0.63,3,1,0.94,3.19,4.86,3.04,18.45,0,149.8770273,0
1350,14,2,14.62,0.57,9.5,442,2.8,0.76,1.28,4,2.92,16.5,241.23,133.61,308.39,107.62,4.79,1.88,0.63,3,1,0.93,3.17,4.79,2.99,18.71,0,144.5471401,0
1351,14,2,14.8,0.58,9.8,473,2.8,0.77,1.28,4,2.91,16.5,244.2,135.38,337.62,108.82,4.79,1.88,0.65,3,1,0.92,3.16,4.79,3.12,18.73,0,142.7281063,0
1352,14,2,15.04,0.59,10.5,473,2.8,0.78,1.36,4,2.92,16.5,248.16,137.73,335.27,110.43,4.81,1.99,0.63,3,1,0.91,3.17,4.81,3.04,18.61,0,144.9995571,0
1353,14,2,15.16,0.61,11.1,479,2.8,0.8,1.39,4,2.91,16.5,250.14,138.91,340.09,111.23,4.94,2.02,0.61,3,1,0.9,3.17,4.94,3.02,18.69,0,147.9289178,0
1354,14,2,15.34,0.61,11.9,479,2.8,0.8,1.48,4,2.93,16.5,253.11,140.68,338.32,112.43,4.84,2.18,0.62,3,1,0.89,3.19,4.84,3,18.43,0,149.4142055,0
1355,14,2,15.4,0.59,11.9,481,2.9,0.79,1.5,4,2.93,16.5,254.1,141.26,339.74,112.84,4.78,2.2,0.63,3,1,0.89,3.2,4.78,2.99,18.35,0,149.9093741,0
1356,14,2,15.46,0.61,11.9,475,2.9,0.8,1.48,4,2.92,16.5,255.09,141.85,333.15,113.24,4.81,2.17,0.61,3,1,0.88,3.19,4.81,2.93,18.41,0,148.7190751,0
1357,14,2,15.6,0.59,11.2,481,2.9,0.78,1.45,4,2.93,16.5,257.4,143.23,337.77,114.17,4.56,2.17,0.65,3,1,0.88,3.21,4.56,2.95,18.23,0,146.5485415,0
