No,ID,Depth_m,qc_MPa,fs_kPa,u_kPa,Other,qt_MPa,Rf_p,SBT,Ic,gamma_kNm3,sv_kPa,u0_kPa,du_kPa,slv0_kPa,Qt1,Fr_p,Bq,SBTn,n,Cn,Icn,Qtn,U2,IB,MSBTn,KG,EST
83,2,4.91,2.73,26,42,0,3.8,0.6,5,2.14,19,93.29,43.26,-1.26,50.03,74.15,0.62,-0.01,6,0.63,1.55,1.99,57.45,-0.38,64,7,240.7105083,0
84,2,4.96,3.77,26,-15,0,3.71,0.6,5,2.15,19,94.24,43.75,-58.75,50.49,71.61,0.62,-0.01,6,0.64,1.54,2,55.84,-0.36,62.99,7,238.6363416,0
85,2,5.11,3.62,18,25,0,3.27,0.63,5,2.21,19,97.09,45.22,-20.22,51.87,61.21,0.65,-0.01,6,0.66,1.54,2.06,48.95,-0.36,57.97,7,233.2609539,0
86,2,5.16,3.35,16,34,0,3.21,0.6,5,2.21,19,98.04,45.71,-11.71,52.33,59.57,0.62,-0.01,6,0.66,1.53,2.06,47.78,-0.36,58.02,6,229.0667923,0
87,2,5.2,2.87,17,37,0,3.07,0.57,5,2.22,19,98.8,46.11,-9.11,52.69,56.4,0.59,-0.01,6,0.66,1.53,2.07,45.46,-0.31,57.17,6,223.4856276,0
88,2,5.54,1.25,10,46,0,1.82,0.52,5,2.41,19,105.26,49.44,-3.44,55.82,30.66,0.55,0,5,0.74,1.54,2.26,26.35,-0.04,42.99,6,188.848261,0
89,2,5.65,1.58,5,32,0,1.57,0.56,5,2.48,19,107.35,50.52,-18.52,56.83,25.77,0.6,0,5,0.77,1.54,2.34,22.62,-0.07,39.06,6,186.3789993,0
90,2,5.73,1.93,9,43,0,1.36,0.63,5,2.56,19,108.87,51.31,-8.31,57.56,21.67,0.69,0,5,0.8,1.56,2.42,19.42,-0.02,35.31,6,183.9562062,0
91,2,5.75,1.81,9,29,0,1.33,0.64,5,2.57,19,109.25,51.5,-22.5,57.75,21.09,0.7,0,5,0.81,1.56,2.44,18.97,-0.01,34.8,6,185.3864651,0
92,2,5.81,1.22,9,44,0,1.56,0.59,5,2.49,19,110.39,52.09,-8.09,58.3,24.89,0.64,0,5,0.78,1.52,2.36,22.08,0,38.16,6,187.7270377,0
93,2,6.49,5.34,34,60,0,6.19,0.52,6,1.93,19,123.31,58.76,1.24,64.55,93.92,0.53,0,6,0.58,1.29,1.84,78.23,0.05,79.18,7,250.9328522,0
94,2,6.63,5.38,28,62,0,6.47,0.48,6,1.89,19,125.97,60.14,1.86,65.83,96.42,0.49,0,6,0.57,1.27,1.81,80.63,0.04,82.72,7,247.1155189,0
95,2,6.95,7.07,38,65,0,8.08,0.47,6,1.8,19,132.05,63.27,1.73,68.78,115.56,0.47,0,6,0.54,1.23,1.73,97.42,-0.01,92.43,7,257.3437464,0
96,2,7.48,8.45,46,69,0,7.44,0.56,6,1.88,19,142.12,68.47,0.53,73.65,99.04,0.58,0,6,0.58,1.19,1.82,87.07,0.07,80.84,7,265.1117238,0
97,2,7.56,6.56,35,70,0,5.95,0.7,6,2.01,19,143.64,69.26,0.74,74.38,78.01,0.72,0,6,0.63,1.2,1.95,69.91,0.17,66.46,7,265.1135968,0
98,2,7.62,4.03,39,72,0,4.89,0.79,5,2.11,19,144.78,69.85,2.15,74.93,63.28,0.82,0,6,0.67,1.21,2.05,57.51,0.18,57.73,7,259.9172186,0
99,2,7.75,1.49,39,148,0,2.78,1.15,5,2.4,19,147.25,71.12,76.88,76.13,34.52,1.22,0,5,0.78,1.24,2.35,32.55,0.12,38.81,7,247.9937695,0
100,2,7.82,1.99,21,85,0,1.92,1.55,4,2.61,19,148.58,71.81,13.19,76.77,23.08,1.68,0.01,4,0.87,1.26,2.57,22.28,0.22,30.07,4,246.5834446,0
